,values
703,3.813306e-06
704,3.0752235e-06
705,3.2257633e-06
706,3.602876e-06
707,2.9095547e-06
708,3.0645092e-06
709,2.9222363e-06
710,2.516504e-06
711,2.652164e-06
712,2.3119949e-06
713,2.3622804e-06
714,2.9282721e-06
715,3.090348e-06
716,3.2015414e-06
717,2.998769e-06
718,2.4154194e-06
719,1.3956236e-06
720,1.1376354e-06
721,7.921175e-07
722,5.6162634e-07
723,4.4248395e-07
724,6.664642e-07
725,5.9074426e-07
726,6.453867e-07
727,8.7107685e-07
728,5.7701976e-07
729,5.583835e-07
730,5.079225e-07
731,4.5799734e-07
732,4.4895066e-07
733,4.9097963e-07
734,4.7469916e-07
735,2.7842708e-07
736,2.4611e-07
737,1.3685252e-06
738,3.1450634e-06
739,3.5604482e-06
740,4.0568384e-06
741,3.8867533e-06
742,2.6928317e-06
743,3.1837355e-06
744,4.0690397e-06
745,3.423433e-06
746,3.5781109e-06
747,3.0137355e-06
748,1.8300317e-06
749,1.9343893e-06
750,1.5952646e-06
751,1.3926258e-06
752,1.6296528e-06
753,1.5047164e-06
754,1.1984775e-06
755,1.4370469e-06
756,1.1955475e-06
757,9.007969e-07
758,1.4705076e-06
759,2.2161319e-06
760,2.2764002e-06
761,2.477771e-06
762,2.0077625e-06
763,1.7118465e-06
764,2.009395e-06
765,1.9376282e-06
766,1.927609e-06
767,1.7538214e-06
768,1.4589896e-06
769,2.641242e-06
770,3.430088e-06
771,3.31846e-06
772,4.3951395e-06
773,4.559429e-06
774,4.0604546e-06
775,3.98116e-06
776,3.2372695e-06
777,2.647601e-06
778,2.4191752e-06
779,2.1960345e-06
780,1.8011176e-06
