,values
380,1.8439606e-06
381,4.2443986e-07
382,0.0
383,0.0
384,0.0
385,0.0
386,3.4400769e-06
387,0.0
388,2.532433e-07
389,8.797509e-06
390,1.7410019e-06
391,4.9015475e-06
392,1.173635e-06
393,3.556817e-06
394,4.761649e-06
395,2.1107649e-06
396,4.2470543e-07
397,3.4626123e-06
398,4.290715e-06
399,0.0
400,7.170056e-07
401,3.141616e-07
402,7.137449e-06
403,6.101139e-06
404,2.3269592e-06
405,3.050536e-06
406,5.894813e-07
407,1.8123316e-07
408,0.0
409,2.4704525e-06
410,7.486111e-06
411,7.6766884e-07
412,2.3194743e-06
413,3.173203e-08
414,1.6454621e-06
415,5.6440217e-06
416,3.1144955e-06
417,1.6410902e-06
418,4.6090395e-06
419,4.546e-06
420,8.0156315e-06
421,1.0029966e-05
422,1.1185574e-05
423,1.2279366e-05
424,1.5369083e-05
425,2.1317652e-05
426,2.128342e-05
427,2.7596468e-05
428,3.9666043e-05
429,4.2597527e-05
430,5.4258137e-05
431,6.46263e-05
432,7.987443e-05
433,9.094265e-05
434,0.00010702544
435,0.00012683017
436,0.0001454885
437,0.00017273697
438,0.00019740353
439,0.00022927957
440,0.0002635752
441,0.00029914855
442,0.00033951734
443,0.00038588795
444,0.00043843884
445,0.00050812133
446,0.0005630819
447,0.0006135659
448,0.00066347857
449,0.0006911223
450,0.0006984826
451,0.00068786193
452,0.00065083144
453,0.0006055492
454,0.0005366253
455,0.0004759361
456,0.00041766433
457,0.00036972886
458,0.0003306291
459,0.00030354087
460,0.00028733103
461,0.0002704599
462,0.0002509124
463,0.0002402926
464,0.00022019018
465,0.00020234691
466,0.00019014225
467,0.00016972993
468,0.00015757368
469,0.00014601185
470,0.00012915905
471,0.00011408395
472,0.00011044429
473,9.4979565e-05
474,8.4319596e-05
475,7.567744e-05
476,6.8926274e-05
477,6.5846616e-05
478,6.278991e-05
479,5.48312e-05
480,5.394436e-05
481,5.6671e-05
482,5.235517e-05
483,4.822581e-05
484,4.8357797e-05
485,4.6844976e-05
486,5.3203086e-05
487,4.25834e-05
488,4.8589798e-05
489,4.3155567e-05
490,4.127291e-05
491,4.2294112e-05
492,4.3687753e-05
493,4.9122358e-05
494,4.6896817e-05
495,4.9393417e-05
496,5.345043e-05
497,6.158659e-05
498,6.612755e-05
499,7.795262e-05
500,8.83472e-05
501,9.438365e-05
502,0.00010614197
503,0.00011992961
504,0.00012595506
505,0.00013743709
506,0.00014676742
507,0.00016131239
508,0.00018246485
509,0.00020598731
510,0.0002227445
511,0.00025198085
512,0.00028390053
513,0.00031268847
514,0.00031898616
515,0.00031736228
516,0.00032671102
517,0.00032591016
518,0.00033979426
519,0.0003533521
520,0.0003685402
521,0.0003761215
522,0.0003885406
523,0.00041060965
524,0.00042723794
525,0.0004418079
526,0.00044848787
527,0.00044716708
528,0.00044149577
529,0.00044005932
530,0.00042955417
531,0.0004140763
532,0.00040454898
533,0.00039266952
534,0.00038319873
535,0.00037047584
536,0.00037334155
537,0.0003653785
538,0.00035386646
539,0.0003331428
540,0.00033546195
541,0.0003200836
542,0.00030719076
543,0.0002898056
544,0.00028534053
545,0.00027755107
546,0.0002602549
547,0.0002572087
548,0.0002436053
549,0.0002307873
550,0.00022175036
551,0.0002112122
552,0.00019813342
553,0.00018642926
554,0.00017647013
555,0.0001643154
556,0.00015984995
557,0.0001461753
558,0.00013814884
559,0.00012716523
560,0.00011662087
561,0.000110154375
562,0.00010034431
563,9.7432705e-05
564,9.164209e-05
565,8.235352e-05
566,6.90828e-05
567,7.346751e-05
568,6.685608e-05
569,6.122068e-05
570,5.4662167e-05
571,5.8219874e-05
572,4.492819e-05
573,4.652149e-05
574,3.955425e-05
575,3.2018925e-05
576,3.252896e-05
577,3.6515085e-05
578,3.274145e-05
579,3.1596217e-05
580,2.4300734e-05
581,2.436722e-05
582,2.4924377e-05
583,1.9424944e-05
584,2.2120608e-05
585,2.3718254e-05
586,2.3096494e-05
587,3.5757177e-05
588,3.0588682e-05
589,2.6110285e-05
590,2.9689014e-05
591,2.4282182e-05
592,3.2936117e-05
593,3.2276803e-05
594,3.5517787e-05
595,3.4484125e-05
596,4.0185256e-05
597,4.7846504e-05
598,5.17499e-05
599,5.116707e-05
600,5.2832424e-05
601,5.2422485e-05
602,4.9755185e-05
603,5.3344735e-05
604,5.382947e-05
605,6.0018534e-05
606,6.617899e-05
607,0.00010222301
608,0.00019552067
609,0.00025229043
610,0.00022726806
611,0.00021637342
612,0.00034157425
613,0.0005231294
614,0.0005442235
615,0.0004085202
616,0.00024759956
