,values
380,3.0129413e-06
381,7.5108844e-08
382,1.6855962e-06
383,6.025474e-07
384,2.541601e-07
385,5.897159e-07
386,0.0
387,0.0
388,9.187783e-07
389,4.1073594e-07
390,8.9111086e-07
391,0.0
392,0.0
393,1.1419353e-06
394,9.2453473e-07
395,3.295032e-06
396,4.0950295e-07
397,2.6522462e-06
398,0.0
399,1.2782964e-07
400,0.0
401,1.5746637e-06
402,8.5925626e-07
403,0.0
404,0.0
405,3.7146845e-07
406,1.5551352e-06
407,4.0328624e-07
408,2.7090568e-06
409,7.0071576e-07
410,0.0
411,1.5332702e-07
412,1.2047474e-06
413,8.108269e-07
414,6.8449197e-07
415,2.2486698e-07
416,4.7387704e-07
417,0.0
418,0.0
419,1.1369866e-06
420,0.0
421,1.0471457e-06
422,3.7783414e-07
423,0.0
424,1.0294817e-06
425,0.0
426,2.1582944e-06
427,5.7860515e-08
428,5.672713e-07
429,0.0
430,2.0732173e-06
431,6.789174e-07
432,1.9023035e-07
433,1.1858114e-06
434,2.3904363e-06
435,8.3561497e-07
436,1.9750998e-06
437,9.295091e-07
438,6.4577773e-07
439,8.398777e-07
440,1.3382886e-06
441,4.0579796e-08
442,6.2344526e-07
443,3.1565725e-07
444,1.9780107e-06
445,4.3778014e-06
446,9.189667e-08
447,9.547049e-07
448,3.7081222e-06
449,6.0526435e-07
450,1.6351435e-06
451,8.214515e-07
452,1.9768165e-06
453,2.250999e-06
454,2.0242646e-06
455,5.095111e-07
456,1.174321e-06
457,2.381998e-06
458,2.8362033e-06
459,0.0
460,3.0861747e-07
461,1.1341793e-07
462,1.208541e-06
463,1.2379697e-06
464,2.108075e-06
465,1.19043975e-08
466,0.0
467,5.111657e-07
468,0.0
469,7.0612555e-07
470,1.7771031e-06
471,2.968101e-06
472,4.096713e-06
473,2.8836837e-07
474,9.594579e-07
475,1.6485179e-06
476,3.7323973e-06
477,4.6695527e-06
478,5.2915334e-06
479,6.2231775e-06
480,7.2512503e-06
481,8.246936e-06
482,8.432511e-06
483,9.032753e-06
484,1.2466303e-05
485,1.4053658e-05
486,1.6118216e-05
487,1.3962418e-05
488,1.7559654e-05
489,2.4075249e-05
490,1.8789113e-05
491,2.1388292e-05
492,2.0460133e-05
493,2.5990694e-05
494,2.7303404e-05
495,3.0777064e-05
496,3.5733294e-05
497,4.0914718e-05
498,4.2311327e-05
499,4.962386e-05
