,values
380,4.032559e-06
381,1.856217e-06
382,3.4318552e-06
383,2.2969903e-06
384,7.779983e-07
385,4.415351e-07
386,2.4104028e-07
387,4.2643432e-08
388,1.7301217e-06
389,0.0
390,0.0
391,2.7292538e-06
392,3.0297128e-06
393,1.1881743e-06
394,0.0
395,5.6287064e-08
396,2.096223e-06
397,4.5579762e-07
398,4.684334e-06
399,1.6903338e-07
400,3.2607572e-06
401,2.6878963e-06
402,1.7296153e-06
403,6.6067328e-06
404,1.792026e-06
405,4.31283e-06
406,2.0430903e-06
407,3.779442e-06
408,5.611678e-06
409,1.9192805e-06
410,2.2298784e-06
411,4.424428e-07
412,2.183891e-06
413,4.6236653e-07
414,2.5024738e-06
415,1.0737002e-06
416,2.7822368e-06
417,2.26944e-06
418,3.8105006e-06
419,4.8875904e-06
420,4.1459903e-06
421,8.945629e-06
422,8.486554e-06
423,9.200574e-06
424,1.3194682e-05
425,1.8936376e-05
426,2.7206344e-05
427,2.7195098e-05
428,3.4201552e-05
429,4.2332922e-05
430,5.396992e-05
431,7.0192655e-05
432,8.188258e-05
433,9.2885166e-05
434,0.00010787616
435,0.00013033567
436,0.00014794484
437,0.00017125353
438,0.0001976019
439,0.00022436111
440,0.00025579968
441,0.00028782035
442,0.00033136288
443,0.00037614512
444,0.0004314354
445,0.0004986946
446,0.0005579295
447,0.000610639
448,0.0006560373
449,0.00068284385
450,0.0006916913
451,0.00067742314
452,0.0006381364
453,0.00059891527
454,0.0005322162
455,0.0004670806
456,0.0004132282
457,0.0003626451
458,0.00032321276
459,0.00030240606
460,0.00028495913
461,0.00026313643
462,0.00024713305
463,0.00023611951
464,0.00021688285
465,0.00020678344
466,0.00018646539
467,0.00017307694
468,0.00015785484
469,0.00013796992
470,0.00012596634
471,0.0001148795
472,0.0001023029
473,9.150006e-05
474,8.765812e-05
475,7.234515e-05
476,6.5613254e-05
477,6.230927e-05
478,5.6369423e-05
479,4.880999e-05
480,5.15946e-05
481,4.3091677e-05
482,4.0730054e-05
483,3.6128167e-05
484,3.4463275e-05
485,2.898121e-05
486,2.5936895e-05
487,2.369188e-05
488,2.3095654e-05
489,2.3060627e-05
490,2.5976919e-05
491,2.0935258e-05
492,2.5092766e-05
493,1.8732178e-05
494,2.1612883e-05
495,2.0397121e-05
496,2.0212517e-05
497,2.0026931e-05
498,2.2595272e-05
499,1.9558787e-05
500,2.686956e-05
501,2.7290125e-05
502,2.8222501e-05
503,2.7661079e-05
504,2.8327357e-05
505,2.6081183e-05
506,3.1920063e-05
507,3.420346e-05
508,3.4585297e-05
509,3.153286e-05
510,3.556582e-05
511,4.0754756e-05
512,3.950358e-05
513,3.8744693e-05
514,3.6510377e-05
515,3.2610962e-05
516,3.290958e-05
517,3.186459e-05
518,2.7988814e-05
519,3.0218387e-05
520,2.2147824e-05
521,2.4132056e-05
522,2.2686692e-05
523,2.1854326e-05
524,2.0384941e-05
525,2.1182466e-05
526,2.0192509e-05
527,1.693757e-05
528,1.39760605e-05
529,1.2877959e-05
530,1.0305417e-05
531,1.34377915e-05
532,1.0470753e-05
533,8.797144e-06
534,7.223084e-06
535,5.650033e-06
536,8.304365e-06
537,8.133605e-06
538,8.249541e-06
539,5.590995e-06
540,6.714163e-06
541,9.3969475e-06
542,7.364189e-06
543,3.673466e-06
544,5.27769e-06
545,4.559404e-06
546,3.9660026e-06
547,4.0716245e-06
548,1.1456677e-06
549,3.0002536e-06
550,4.162943e-06
551,0.0
552,2.0264479e-06
553,1.6122546e-06
554,5.4410947e-07
555,2.0726948e-06
556,2.987092e-06
557,1.9115412e-06
558,0.0
559,3.1358527e-06
560,3.290006e-08
561,9.106171e-07
562,2.6223624e-06
563,1.6081059e-06
564,0.0
565,1.0227278e-06
566,3.5539695e-06
567,1.7129573e-06
568,1.3523919e-07
569,3.3303413e-06
570,7.8758416e-07
571,0.0
572,1.70148e-06
573,2.6367686e-06
574,0.0
575,9.821943e-07
576,2.6433256e-06
577,0.0
578,7.9780983e-07
579,2.6283988e-07
580,2.419314e-06
581,0.0
582,4.0847658e-07
583,1.5189388e-06
584,4.456014e-07
585,0.0
586,1.1913729e-06
587,4.442625e-06
588,3.2321068e-06
589,2.0388045e-06
590,4.6269374e-08
591,0.0
592,3.2362839e-06
593,1.1777141e-06
594,3.571133e-07
595,8.968633e-07
596,0.0
597,3.934763e-08
598,0.0
599,0.0
600,0.0
601,8.6743535e-07
602,2.284377e-06
603,0.0
604,6.6258383e-07
605,2.1741995e-08
606,1.6793555e-06
607,0.0
608,3.1334373e-06
609,3.5393023e-06
610,7.130762e-07
611,2.2776841e-07
612,0.0
613,3.570213e-06
614,2.1474184e-06
615,5.2264073e-09
616,1.8924122e-06
617,9.997938e-07
618,0.0
619,0.0
620,7.3784213e-07
621,1.8972017e-06
622,2.482462e-06
623,2.891106e-06
624,3.6490217e-06
625,1.5396785e-06
626,1.0605311e-06
627,2.1385985e-08
628,0.0
629,1.9627461e-07
630,3.56581e-06
631,0.0
632,1.2512202e-06
633,3.7751704e-07
634,2.3388875e-06
635,4.9216546e-06
636,6.665719e-08
637,2.8512846e-07
638,3.6002577e-06
639,0.0
640,6.1709176e-07
641,3.0530757e-06
642,5.1854804e-06
643,2.8220424e-07
644,0.0
645,6.172817e-07
