,values
380,2.1613291e-06
381,4.6914756e-06
382,1.3677353e-06
383,7.050533e-07
384,0.0
385,1.3573253e-06
386,3.91457e-06
387,0.0
388,1.4069072e-08
389,0.0
390,1.8304445e-06
391,2.8341606e-07
392,0.0
393,3.011407e-06
394,4.155361e-06
395,0.0
396,1.960179e-07
397,0.0
398,8.3076577e-07
399,1.2320211e-06
400,1.2503577e-07
401,0.0
402,7.1209597e-06
403,2.8644953e-07
404,3.5353692e-06
405,1.2038781e-07
406,2.0369034e-06
407,7.078211e-07
408,9.065258e-07
409,1.3021952e-06
410,0.0
411,3.981985e-07
412,0.0
413,3.7608327e-08
414,0.0
415,3.94749e-06
416,4.1160715e-06
417,0.0
418,0.0
419,1.8093103e-06
420,1.3767702e-06
421,3.6821332e-06
422,4.672004e-07
423,0.0
424,1.5431946e-06
425,1.8877043e-07
426,0.0
427,2.4926626e-07
428,3.7162638e-06
429,1.517262e-06
430,3.1178365e-06
431,0.0
432,3.9825836e-06
433,3.7418283e-07
434,3.2099895e-06
435,4.3069645e-06
436,1.0863297e-06
437,2.6131283e-06
438,0.0
439,3.825739e-06
440,4.852144e-07
441,1.22302035e-08
442,6.5612596e-07
443,3.7295973e-07
444,3.5715357e-06
445,4.0449895e-06
446,1.2265534e-07
447,2.345403e-06
448,4.9471114e-06
449,4.5604617e-07
450,1.5692226e-06
451,2.835052e-06
452,4.4370763e-06
453,1.2831542e-06
454,1.1053589e-06
455,1.2809602e-06
456,1.1424215e-06
457,1.1593758e-06
458,3.1867182e-07
459,1.542517e-06
460,0.0
461,2.8734503e-06
462,5.3529143e-06
463,0.0
464,0.0
465,3.7348148e-08
466,3.5886321e-06
467,1.3478224e-06
468,2.131569e-06
469,1.1003283e-06
470,0.0
471,3.3574008e-06
472,6.786185e-07
473,0.0
474,6.732924e-07
475,0.0
476,6.910462e-07
477,9.422968e-07
478,7.310512e-07
479,1.0235601e-06
480,1.1122075e-06
481,3.7533575e-06
482,1.5748703e-06
483,1.3870482e-06
484,2.7983065e-06
485,2.1958493e-07
486,0.0
487,4.898631e-08
488,2.5449708e-06
489,1.7594774e-08
490,2.909807e-07
491,0.0
492,2.2222532e-07
493,2.872231e-06
494,4.751904e-06
495,1.0698585e-06
496,3.8308826e-07
497,3.2614398e-06
498,2.5777772e-06
499,1.7686936e-06
500,2.3059529e-06
501,3.4090158e-06
502,4.3389232e-07
503,1.7388154e-06
504,0.0
505,1.8845659e-06
506,0.0
507,4.7444308e-07
508,2.0998527e-06
509,1.7738937e-06
510,1.6858964e-06
511,2.609061e-06
512,1.970062e-06
513,1.1685123e-06
514,2.6548398e-07
515,1.1583213e-06
516,3.2519458e-06
517,0.0
518,4.478095e-06
519,3.099919e-06
520,6.4862847e-06
521,7.227086e-08
522,1.280427e-06
523,1.936597e-06
524,3.5368892e-06
525,5.768491e-06
526,1.7846563e-06
527,1.6718153e-07
528,0.0
529,2.7190297e-06
530,1.6547334e-06
531,0.0
532,1.9939174e-07
533,1.052146e-06
534,7.3238207e-06
535,3.6081312e-07
536,4.001494e-06
537,4.163162e-07
538,2.3333919e-06
539,1.8070708e-06
540,0.0
541,6.705423e-07
542,3.905224e-06
543,3.4990308e-07
544,4.031982e-06
545,6.6725164e-08
546,2.0814289e-06
547,4.5096874e-07
548,0.0
549,4.692276e-06
550,2.4856822e-06
551,4.2550114e-06
552,1.1915453e-06
553,0.0
554,2.8694812e-06
555,1.6516345e-06
556,3.2317965e-07
557,3.8350295e-06
558,6.535548e-07
559,4.722199e-06
560,7.8131677e-07
561,0.0
562,1.0805732e-06
563,9.907081e-07
564,6.5198475e-07
565,0.0
566,1.1412656e-06
567,0.0
568,9.776426e-07
569,1.8096891e-06
570,3.7178531e-06
571,0.0
572,1.6420431e-06
573,5.7494985e-06
574,7.2440594e-06
575,4.2095467e-06
576,8.093535e-06
577,0.0
578,3.5357568e-06
579,5.2049572e-06
580,9.086044e-06
581,1.1038655e-06
582,8.338556e-06
583,6.1465544e-06
584,1.0858984e-05
585,1.2394686e-05
586,1.6697646e-05
587,1.8352252e-05
588,1.15768435e-05
589,2.1621143e-05
590,2.410588e-05
591,2.3680761e-05
592,2.6858714e-05
593,2.7231672e-05
594,2.885346e-05
595,2.7204178e-05
596,3.7068512e-05
597,3.94452e-05
598,4.332641e-05
599,4.497263e-05
600,4.4397828e-05
601,4.6551002e-05
602,4.4253884e-05
603,4.6892077e-05
604,5.3765645e-05
605,5.6633915e-05
606,6.8110276e-05
607,0.000107801316
608,0.00019256648
609,0.0002446837
610,0.00022395946
611,0.00021328017
612,0.00033366523
613,0.00051115616
614,0.00054344564
615,0.0004043976
616,0.00024620973
617,0.00017164898
618,0.0001530035
619,0.00015331944
620,0.00015208674
621,0.00014409106
622,0.0001416736
623,0.00014595196
624,0.000169827
625,0.00018968468
626,0.00020863391
627,0.00024946843
628,0.00037090425
629,0.0007617004
630,0.0013290812
631,0.0014959875
632,0.0012060691
633,0.00087041245
634,0.00093069946
635,0.0010400438
636,0.0008223816
637,0.0004712231
638,0.00021186637
639,0.00010750188
640,6.7691944e-05
641,4.6882047e-05
642,4.563232e-05
643,4.9790386e-05
644,5.3376953e-05
645,8.371979e-05
646,0.00017498434
647,0.0002600695
648,0.00025650396
649,0.00017024917
650,9.499081e-05
651,6.723042e-05
652,5.907943e-05
653,5.1939667e-05
654,3.911094e-05
655,4.5054556e-05
656,3.0030402e-05
657,2.4301627e-05
658,2.0841988e-05
659,1.7593855e-05
660,1.8882787e-05
661,1.7325521e-05
662,1.2503161e-05
663,7.513269e-06
664,7.8370285e-06
665,2.677458e-06
666,1.3374567e-05
667,2.8415138e-06
668,1.3611744e-05
669,1.577085e-05
670,1.7031929e-05
671,2.0194551e-05
672,1.51059085e-05
673,1.2377712e-05
674,2.6200748e-06
675,6.8149106e-06
676,7.280724e-06
677,7.894541e-06
678,9.401021e-06
679,4.8166526e-06
680,0.0
681,1.2989238e-07
682,5.8214687e-06
683,2.284966e-06
684,1.0960559e-05
685,5.314669e-06
686,3.7379834e-06
687,0.0
688,7.872451e-07
689,4.631705e-06
690,6.032435e-07
691,0.0
692,0.0
693,0.0
694,3.989906e-06
695,0.0
696,9.1986185e-06
697,4.207789e-06
698,3.7115646e-07
699,4.56565e-06
700,3.0792119e-06
701,2.274472e-06
702,2.5821391e-06
703,2.8011902e-06
704,2.6942218e-06
705,3.1799066e-06
706,3.0750414e-06
707,3.1598447e-06
708,3.7416053e-06
709,3.5576352e-06
710,3.305008e-06
711,3.5178348e-06
712,3.0362396e-06
713,3.2949924e-06
714,4.5137062e-06
715,3.8673984e-06
716,4.0625446e-06
717,4.0122095e-06
718,3.1538348e-06
719,4.088227e-06
720,3.513306e-06
721,3.1209213e-06
722,3.0665378e-06
723,2.33601e-06
724,2.5104466e-06
725,3.3815043e-06
726,3.816394e-06
727,3.578892e-06
728,3.388905e-06
729,2.712179e-06
730,2.4767287e-06
731,2.3565094e-06
732,2.8993543e-06
