,values
701,5.2800283e-07
702,3.2092638e-07
703,4.840922e-07
704,4.517196e-07
705,1.0131943e-06
706,1.101473e-06
707,1.2817552e-06
708,2.1587286e-06
709,1.7637146e-06
710,1.8632405e-06
711,1.7369057e-06
712,1.7135335e-06
713,1.7488884e-06
714,2.1402843e-06
715,2.328949e-06
716,1.6215802e-06
717,1.6823866e-06
718,1.1704531e-06
719,1.3153973e-06
720,1.2716567e-06
721,9.782694e-07
722,9.508146e-07
723,1.506133e-06
724,2.0542313e-06
725,2.2191878e-06
726,2.607908e-06
727,2.1234152e-06
728,2.095269e-06
729,2.2997644e-06
730,2.0482198e-06
731,1.6304826e-06
732,1.2769685e-06
733,8.974092e-07
734,7.3300765e-07
735,1.1031001e-06
736,1.8196479e-06
737,1.9634772e-06
738,3.236766e-06
739,3.9494657e-06
740,3.3228832e-06
741,3.6560054e-06
742,2.92149e-06
743,1.8684425e-06
744,1.6606654e-06
745,1.5983621e-06
746,1.5948808e-06
747,2.1587139e-06
748,2.7416706e-06
749,2.8943575e-06
750,3.1005275e-06
751,2.9258033e-06
752,2.8450418e-06
753,2.4894337e-06
754,1.8929665e-06
755,1.6205632e-06
756,1.563784e-06
757,1.4170072e-06
758,1.3490129e-06
759,1.1414307e-06
760,1.0258053e-06
761,9.732581e-07
762,9.1957884e-07
763,9.659573e-07
764,6.512118e-07
765,2.202783e-06
766,2.4988083e-06
767,2.7705844e-06
768,2.9119497e-06
769,1.8009266e-06
770,1.5885188e-06
771,1.9558577e-06
772,1.9011941e-06
773,1.6367977e-06
774,1.8152014e-06
775,2.1354724e-06
776,2.4461056e-06
777,2.818811e-06
778,3.3307758e-06
779,2.8975817e-06
780,3.883271e-06
