,values
380,0.0
381,9.620637e-07
382,0.0
383,0.0
384,1.9697477e-06
385,0.0
386,4.7997414e-06
387,0.0
388,0.0
389,2.3030773e-06
390,4.394762e-07
391,6.3223587e-07
392,4.171257e-06
393,0.0
394,0.0
395,0.0
396,1.9006104e-06
397,1.5533132e-06
398,2.403379e-07
399,0.0
400,1.8522645e-06
401,0.0
402,0.0
403,1.7823526e-06
404,3.4101988e-06
405,1.2038781e-07
406,1.5067506e-06
407,0.0
408,3.971044e-06
409,2.2484771e-06
410,1.1775903e-06
411,5.3802023e-06
412,1.4415109e-06
413,3.254349e-06
414,1.5940415e-06
415,1.986779e-06
416,5.121441e-07
417,0.0
418,1.079344e-06
419,1.7584505e-06
420,2.983002e-06
421,7.3706866e-07
422,2.1100204e-06
423,2.3717275e-06
424,2.7557044e-06
425,6.4404026e-07
426,6.5816557e-06
427,3.9993733e-06
428,5.981007e-07
429,1.2293335e-06
430,1.2244843e-06
431,1.9625816e-06
432,7.853013e-08
433,4.184737e-06
434,2.3286577e-06
435,4.16418e-06
436,1.2746269e-06
437,3.3212928e-06
438,2.5592074e-06
439,1.8273691e-06
440,0.0
441,7.816692e-06
442,4.047262e-06
443,1.2009525e-06
444,1.6931916e-07
445,2.556441e-06
446,4.9457878e-08
447,8.2358684e-07
448,2.2095826e-06
449,1.0742422e-06
450,5.5433543e-06
451,1.4848248e-06
452,2.4396031e-06
453,2.8229392e-06
454,0.0
455,3.0333815e-06
456,3.608261e-06
457,1.2012168e-07
458,1.9422977e-07
459,0.0
460,9.044106e-07
461,4.3786995e-06
462,1.3693502e-06
463,7.0668074e-07
464,2.1368635e-07
465,1.789591e-08
466,3.0876438e-06
467,9.345949e-07
468,1.1352354e-06
469,4.423103e-06
470,0.0
471,7.1944305e-07
472,0.0
473,8.9931994e-08
474,1.4847384e-06
475,1.9071829e-06
476,1.8110176e-06
477,2.3815523e-06
478,1.604337e-06
479,4.328196e-06
480,6.2456245e-08
481,1.7266216e-06
482,0.0
483,0.0
484,0.0
485,1.9030695e-07
486,1.7926687e-06
487,2.863815e-07
488,0.0
489,1.2678586e-08
490,0.0
491,4.4309436e-06
492,3.0329477e-06
493,0.0
494,1.3225765e-06
495,4.8143634e-06
496,2.3167836e-06
497,9.9039305e-08
498,0.0
499,0.0
500,1.8576176e-06
501,0.0
502,1.003376e-06
503,4.785669e-06
