,values
380,1.386083e-06
381,1.4569783e-06
382,7.19677e-07
383,2.2983866e-06
384,0.0
385,2.652741e-07
386,2.2527147e-06
387,6.359202e-08
388,2.760526e-06
389,1.9272115e-06
390,0.0
391,0.0
392,1.2034482e-07
393,0.0
394,0.0
395,1.2535993e-06
396,5.832378e-07
397,0.0
398,0.0
399,1.1291121e-06
400,3.383562e-08
401,0.0
402,1.1849353e-06
403,2.4918475e-06
404,4.5839235e-07
405,9.4113824e-07
406,1.17720255e-07
407,0.0
408,1.1357074e-06
409,0.0
410,3.066518e-06
411,8.97963e-08
412,1.6668598e-06
413,0.0
414,7.159402e-08
415,2.6028835e-07
416,6.189756e-07
417,0.0
418,3.670301e-07
419,1.5861673e-06
420,0.0
421,3.078031e-08
422,1.9259504e-07
423,1.3496783e-06
424,5.5238127e-07
425,0.0
426,7.787787e-07
427,0.0
428,0.0
429,4.083548e-06
430,0.0
431,9.818659e-07
432,1.3576933e-06
433,1.6135295e-06
434,1.2449366e-06
435,0.0
436,3.980832e-07
437,0.0
438,1.4028719e-06
439,1.6302058e-06
440,2.2225721e-07
441,1.2609775e-06
442,1.3129231e-07
443,6.1386834e-07
444,2.572583e-08
445,1.2216693e-08
446,1.5718513e-06
447,2.1140859e-06
448,9.2587374e-07
449,1.6378428e-07
450,1.3430722e-06
451,2.5200318e-06
452,5.6833255e-07
453,1.0190824e-06
454,8.059441e-07
455,1.0006423e-06
456,3.1485905e-07
457,2.0203286e-06
458,0.0
459,2.1328808e-07
460,2.4628137e-06
461,9.93355e-07
462,2.6293085e-07
463,2.7865028e-06
464,5.799203e-07
465,7.060043e-07
466,1.2988395e-06
467,1.0280518e-07
468,0.0
469,0.0
470,1.9656193e-07
471,1.9314166e-07
472,9.158781e-07
473,1.54896e-06
474,9.663349e-07
475,3.787907e-06
476,5.04976e-06
477,4.849666e-06
478,3.6928193e-06
479,4.811893e-06
480,9.4069155e-06
481,9.2584805e-06
482,1.0538957e-05
483,1.0470369e-05
484,1.281577e-05
485,1.2092946e-05
486,1.4482824e-05
487,1.8884924e-05
488,1.6361104e-05
489,2.0499852e-05
490,2.0107818e-05
491,2.037788e-05
492,2.3701985e-05
493,2.2860346e-05
494,2.6549924e-05
495,3.062366e-05
496,3.0827036e-05
497,4.0641105e-05
498,4.33858e-05
499,4.9237176e-05
500,5.8985795e-05
501,6.991106e-05
502,7.792653e-05
503,8.7476255e-05
504,9.557399e-05
505,0.00010673183
506,0.00011715844
507,0.0001293905
508,0.00014428412
509,0.00016562235
510,0.00019075385
511,0.00021849804
512,0.00024438894
513,0.00026735064
514,0.00027411344
515,0.00028103535
516,0.00029270616
517,0.00029783545
518,0.00030822706
519,0.00032314842
520,0.00033686057
521,0.00035077453
522,0.00037094267
523,0.00038992934
524,0.0004080705
525,0.00041556914
526,0.0004246623
527,0.0004277303
528,0.00042525635
529,0.00042130565
530,0.0004133439
531,0.00039877617
532,0.0003902354
533,0.00038126233
534,0.00037432025
535,0.00036383586
536,0.0003591401
537,0.00035335787
538,0.00034313468
539,0.00033194877
540,0.00032498394
541,0.00031260905
542,0.00029967524
543,0.00029304918
544,0.00028074704
545,0.00026614964
546,0.00025333115
547,0.0002476611
548,0.00024074577
549,0.00022631591
550,0.00021965009
551,0.00020793059
552,0.00019857642
553,0.00018167184
554,0.00017636798
555,0.00016297142
556,0.00015602684
557,0.00014384402
558,0.00013269926
559,0.00012230194
560,0.000116896255
561,0.00010962955
562,9.789392e-05
563,9.2252754e-05
564,8.698736e-05
565,8.224565e-05
566,7.611449e-05
567,7.385945e-05
568,6.464447e-05
569,5.5980403e-05
570,5.418804e-05
571,5.0662857e-05
572,4.6106154e-05
573,4.425362e-05
574,4.072175e-05
575,3.553148e-05
576,3.1414536e-05
577,2.704471e-05
578,2.1843209e-05
579,2.4987155e-05
580,2.2779494e-05
581,1.6073207e-05
582,1.5636844e-05
583,1.7286324e-05
584,1.1587269e-05
585,9.946905e-06
586,9.417527e-06
587,1.0456999e-05
588,5.95811e-06
589,6.3545103e-06
590,6.7606206e-06
591,6.5202403e-06
592,3.8750945e-06
593,2.174381e-06
594,2.1527599e-06
595,2.574174e-06
596,1.4701202e-06
597,1.930982e-06
598,1.5370616e-06
599,1.6684876e-06
600,1.3062574e-06
601,1.7914363e-06
602,1.2037152e-06
603,7.366527e-08
604,7.338377e-07
605,2.2027145e-06
606,2.421759e-06
607,2.5034358e-06
608,3.1807174e-06
609,3.4127795e-06
610,3.9558174e-07
611,1.1712361e-06
612,8.4010935e-08
613,6.0068755e-06
614,3.643883e-06
615,5.8963496e-06
616,1.4076572e-06
617,2.3106654e-06
618,1.0524222e-06
619,2.0558366e-06
620,1.1780687e-06
621,3.2551245e-06
622,2.6899392e-07
623,1.1960182e-06
624,8.8722993e-07
625,2.7224207e-06
626,1.4913196e-07
627,2.215999e-06
628,4.4587036e-06
629,9.986999e-07
630,4.508792e-06
631,1.2404514e-06
632,3.5323499e-06
633,3.1582497e-06
634,2.206997e-06
635,3.1699242e-06
636,1.7662153e-06
637,4.007961e-06
638,5.2254927e-07
639,9.550414e-07
640,3.562906e-07
