,values
380,2.8811885e-07
381,2.167473e-06
382,2.534076e-06
383,3.9755602e-07
384,4.9243145e-06
385,0.0
386,4.291693e-07
387,2.0229886e-06
388,2.043016e-06
389,5.510665e-07
390,3.5371634e-06
391,0.0
392,3.0679219e-06
393,1.911527e-06
394,9.071062e-07
395,0.0
396,6.53393e-08
397,5.0480007e-06
398,1.9169531e-06
399,4.6176342e-07
400,6.528072e-06
401,5.2205987e-06
402,1.5047073e-06
403,4.243715e-06
404,2.2638233e-06
405,4.590586e-06
406,3.8661037e-06
407,9.061659e-07
408,0.0
409,4.608964e-06
410,4.957279e-06
411,1.9402037e-06
412,3.7248262e-06
413,6.0308985e-06
414,3.8051317e-06
415,0.0
416,8.251488e-06
417,6.479199e-07
418,4.9841256e-06
419,3.2139062e-06
420,9.817705e-06
421,1.1726942e-05
422,7.965189e-06
423,1.0229923e-05
424,1.7495546e-05
425,2.1508917e-05
426,2.608143e-05
427,2.7408814e-05
428,3.47063e-05
429,4.1765794e-05
430,5.85038e-05
431,6.7299436e-05
432,7.970064e-05
433,9.362493e-05
434,0.000114175746
435,0.00012668018
436,0.00015111027
437,0.00017108845
438,0.0001990602
439,0.00022664848
440,0.00025775193
441,0.00029908645
442,0.00033660998
443,0.00038356474
444,0.00043912343
445,0.00050974794
446,0.00056391157
447,0.0006159986
448,0.00065697037
449,0.0006957464
450,0.00069906295
451,0.0006795103
452,0.0006525362
453,0.00060848123
454,0.00053478347
455,0.00047382858
456,0.00041443555
457,0.0003684425
458,0.0003298977
459,0.00030832252
460,0.00028257718
461,0.00026453458
462,0.00024862908
463,0.00023923433
464,0.00021938978
465,0.00020117655
466,0.00019651305
467,0.00017671021
468,0.0001563703
469,0.00014877571
470,0.00012663998
471,0.000117981646
472,0.00010375903
473,9.4347735e-05
474,8.3788174e-05
475,7.6540855e-05
476,7.12406e-05
477,6.6924724e-05
478,6.3730535e-05
479,5.8316517e-05
480,6.0188617e-05
481,5.3400174e-05
482,4.971249e-05
483,4.8749895e-05
484,4.628044e-05
485,4.427391e-05
486,4.648975e-05
487,4.5328852e-05
488,3.922819e-05
489,4.49961e-05
490,3.9289913e-05
491,4.550398e-05
492,4.1730083e-05
493,4.37075e-05
494,4.8103575e-05
495,4.68933e-05
496,5.5670916e-05
497,5.9201335e-05
498,6.636487e-05
499,7.106726e-05
500,8.84385e-05
501,9.8976736e-05
502,0.00010544757
503,0.00011724918
504,0.00012313288
505,0.00013464429
506,0.00014565975
507,0.00016046649
508,0.00018100235
509,0.00020015778
510,0.00022665712
511,0.0002524347
512,0.0002868093
513,0.0003021624
514,0.000310623
515,0.00031540738
516,0.00032617594
517,0.00033120497
518,0.00034517155
519,0.00035233807
520,0.00036725347
521,0.00037468426
522,0.00039232097
523,0.0004154014
524,0.00042431045
525,0.0004341822
526,0.00044654746
527,0.0004407182
528,0.00044328772
529,0.0004380778
530,0.00042425256
531,0.00041098945
532,0.00040026134
