,values
380,1.6419282e-06
381,9.016989e-07
382,0.0
383,7.713403e-07
384,2.9545885e-07
385,4.2443567e-08
386,1.9770555e-06
387,9.630046e-07
388,2.1465423e-06
389,4.791882e-07
390,1.1488223e-06
391,0.0
392,2.7029173e-06
393,0.0
394,5.2361397e-06
395,7.035883e-07
396,1.1326033e-06
397,2.1954013e-06
398,5.9512235e-08
399,1.3002568e-07
400,0.0
401,3.9827255e-06
402,3.850092e-07
403,1.5561712e-06
404,2.8640304e-06
405,5.618099e-07
406,3.6232345e-06
407,3.049667e-06
408,2.2636973e-06
409,0.0
410,1.0496448e-06
411,6.0699717e-06
412,3.1559775e-06
413,6.690449e-06
414,0.0
415,4.4063154e-06
416,0.0
417,2.5134807e-06
418,3.1608326e-06
419,5.8889154e-06
420,5.0340873e-06
421,9.946586e-06
422,1.2504119e-05
423,1.3460683e-05
424,1.8889892e-05
425,1.5087015e-05
426,2.5311163e-05
427,2.8631735e-05
428,3.330135e-05
429,4.664162e-05
430,5.5828576e-05
431,6.414032e-05
432,7.6647244e-05
433,9.307472e-05
434,0.00010936802
435,0.00012578919
436,0.00014738356
437,0.00017591273
438,0.00019228586
439,0.00022615123
440,0.0002542067
441,0.00029338154
442,0.0003345587
443,0.00037860443
444,0.0004361885
445,0.00050505105
446,0.00055049284
447,0.00060708023
448,0.00065409095
449,0.0006793016
450,0.0006935759
451,0.0006729106
452,0.00063805084
453,0.0005971229
454,0.00053307094
455,0.0004672163
456,0.00041136536
457,0.0003641503
458,0.00032158114
459,0.0003037419
460,0.0002835465
461,0.000262234
462,0.00024798207
463,0.00023521457
464,0.00021803018
465,0.00020254886
466,0.00019016658
467,0.00017283343
468,0.00015804687
469,0.00014126215
470,0.00012917319
471,0.000115453906
472,0.00010434184
473,8.610966e-05
474,8.549392e-05
475,7.366512e-05
476,6.905214e-05
477,6.417352e-05
478,5.5026194e-05
479,4.9204245e-05
480,5.013014e-05
481,4.7672078e-05
482,4.1434338e-05
483,3.7779624e-05
484,3.4724457e-05
485,3.2318258e-05
486,2.8465989e-05
487,2.459091e-05
488,2.0630008e-05
489,1.924522e-05
490,1.6549291e-05
491,2.1568294e-05
492,2.1473163e-05
493,2.0287713e-05
494,1.6611757e-05
495,2.1563792e-05
496,2.219988e-05
497,1.9294352e-05
498,1.9732293e-05
499,2.3610071e-05
500,2.3487073e-05
501,2.6529007e-05
502,2.9185328e-05
503,3.1283264e-05
504,3.055673e-05
505,3.1908956e-05
506,3.3104065e-05
507,2.9726523e-05
508,3.4991037e-05
509,3.4483226e-05
510,3.6677924e-05
511,3.5262496e-05
512,3.6904774e-05
513,3.738624e-05
514,3.5948e-05
515,3.2677744e-05
516,3.2865788e-05
517,2.7897753e-05
518,2.5303938e-05
519,2.7219054e-05
520,2.3221919e-05
521,2.4437162e-05
522,2.1960592e-05
523,2.1823735e-05
524,1.782977e-05
525,1.8368235e-05
526,1.6950846e-05
527,1.4438083e-05
528,1.51568875e-05
529,1.4169267e-05
530,1.8076853e-05
531,1.3208083e-05
532,1.0792795e-05
533,6.605255e-06
534,6.72107e-06
535,9.411372e-06
536,4.036757e-06
537,5.1910342e-06
538,8.287438e-06
539,9.769799e-06
540,4.5824104e-06
541,3.1942623e-06
542,6.300922e-06
543,2.2954787e-06
544,6.8858412e-06
545,3.809609e-06
546,1.8903476e-06
547,2.961319e-06
548,4.2118936e-06
549,3.7202462e-06
550,9.610034e-07
551,4.642261e-07
552,1.9563092e-06
553,1.1848225e-06
554,9.732289e-07
555,3.6397548e-06
556,8.777718e-07
557,5.217042e-07
558,0.0
